,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
189,TPR.N,460500000.0,,2014-06-28,2023-05-12T00:00:00Z,53.6618856542435,100.0,,,,,,83.0,,,,,,52415.3,,43.2433734939759,39.3333333333333,0.0,82.5301204819277,,404943.587,75.0,20.0,61.7915904936015,35.7727737973388,80.0921187308086,50.0,10.0,2019.88004725537,21.1764705882353,72.3684210526316,76.1194029850746,87.8378378378378,,,79.0,,63.8888888888889,,
190,TPR.N,591000000.0,,2015-06-27,2022-09-08T00:00:00Z,51.3839373564153,100.0,,,,,,85.0,,,,,,46963.8,,58.6496717812412,73.5955056179775,0.0,87.6344086021505,,360655.0,75.0,22.2222222222222,60.0977198697068,34.5281862745098,49.5404411764706,50.0,9.0,89.46464357286,26.7676767676768,78.6821705426357,74.6666666666667,58.984375,,,71.0,,62.8099173553719,,
191,TPR.N,397500000.0,,2016-07-02,2024-01-19T00:00:00Z,55.7108555927248,100.0,,,,,,85.6,371.0,,,,69.6428571428571,48785.49,,68.625,95.3125,0.0,91.5,10.8610111759206,345367.508,75.0,33.3333333333333,59.8335854765507,33.7670648464164,48.1441979522184,50.0,9.0,,71.7213114754098,76.4900662251656,69.8863636363636,43.046357615894,,,69.0,,61.4583333333333,,
192,TPR.N,643400000.0,,2017-07-01,2024-01-19T00:00:00Z,61.5011771621367,100.0,,,,,,52.2,,,,,50.0,65352.51,7.16885791947954,68.7955182072829,94.6078431372549,0.0,92.8571428571429,14.5606376579106,,75.0,33.3333333333333,59.9315068493151,28.3482142857143,62.7918956043956,63.905,9.0,,69.1176470588235,70.0,73.7623762376238,95.4545454545455,,,70.0,,59.3939393939394,,
193,TPR.N,-652100000.0,,2018-06-30,2023-07-07T00:00:00Z,63.208068668521,100.0,,,,,,,,,7812.0,,54.4117647058824,58303.6,7.22390901360544,69.3321744169201,95.3389830508475,0.0,93.5897435897436,9.9155731292517,,75.0,40.0,78.6961583236321,27.8166666666667,55.15,100.0,10.0,12755.1020408163,69.9367088607595,79.3956043956044,70.6896551724138,99.7252747252747,,,76.0,,58.5164835164835,,
194,TPR.N,834200000.0,,2019-06-29,2023-07-21T00:00:00Z,71.3644975045205,100.0,,,,,,,,,7984.8,,55.0,57944.7,6.72461117286921,68.2957725732803,91.4383561643836,0.0,95.1612903225807,9.61402830548688,,75.0,33.3333333333333,78.9404553415061,64.8136349155782,50.0,100.0,9.0,3650.18002024191,65.5263157894737,80.9178743961353,66.2068965517241,99.7584541062802,60.0,,78.0,,56.280193236715,,
195,TPR.N,856300000.0,,2020-06-27,2024-09-12T00:00:00Z,68.1957460050273,100.0,,,,,,87.0,4199.73,,14198.4,,67.5,49819.0,7.80541943806184,71.0085546534562,97.3372781065089,0.0,96.2209302325581,10.0413189825452,,75.0,37.5,80.2473262032086,53.0380894800484,52.8264812575574,100.0,8.0,5643.56834764381,60.8173076923077,79.3181818181818,63.0434782608696,99.7727272727273,60.0,,78.0,,54.7727272727273,,
196,TPR.N,936000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,TPR.N,816000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,CBRE.N,484503000.0,,2013-12-31,2022-08-17T00:00:00Z,84.2707336000365,100.0,,,,,,,,,,,67.6470588235294,50623.0,,78.5790704002375,93.2926829268293,69.1176470588235,69.8863636363636,7.04585267162844,639554.4,75.0,10.0,91.6967509025271,95.4452405322416,82.0368474923234,100.0,10.0,,19.1666666666667,92.6356589147287,80.0,92.0,,,34.0,,79.9270072992701,,
